"tick","Survivor Count","Rescued Survivor Count","Distribution Center Count","Drone Count"
1.0,200,2,1,1
2.0,200,2,1,1
3.0,200,2,1,1
4.0,200,2,1,1
5.0,199,3,1,1
6.0,199,3,1,1
7.0,197,5,1,1
8.0,196,6,1,1
9.0,196,6,1,1
10.0,196,6,1,1
11.0,196,6,1,1
12.0,196,6,1,1
13.0,195,7,1,1
14.0,195,7,1,1
15.0,195,7,1,1
16.0,194,8,1,1
17.0,194,8,1,1
18.0,194,8,1,1
19.0,194,8,1,1
20.0,194,8,1,1
21.0,193,9,1,1
22.0,193,9,1,1
23.0,193,9,1,1
24.0,193,9,1,1
25.0,193,9,1,1
26.0,192,10,1,1
27.0,192,10,1,1
28.0,192,10,1,1
29.0,192,10,1,1
30.0,192,10,1,1
31.0,191,11,1,1
32.0,191,11,1,1
33.0,191,11,1,1
34.0,190,12,1,1
35.0,189,13,1,1
36.0,189,13,1,1
37.0,189,13,1,1
38.0,189,13,1,1
39.0,188,14,1,1
40.0,188,14,1,1
41.0,188,14,1,1
42.0,188,14,1,1
43.0,188,14,1,1
44.0,187,15,1,1
45.0,187,15,1,1
46.0,187,15,1,1
47.0,187,15,1,1
48.0,187,15,1,1
49.0,186,16,1,1
50.0,186,16,1,1
51.0,186,16,1,1
52.0,186,16,1,1
53.0,186,16,1,1
54.0,185,17,1,1
55.0,185,17,1,1
56.0,184,18,1,1
57.0,184,18,1,1
58.0,184,18,1,1
59.0,184,18,1,1
60.0,184,18,1,1
61.0,182,20,1,1
62.0,182,20,1,1
63.0,181,21,1,1
64.0,181,21,1,1
65.0,180,22,1,1
66.0,179,23,1,1
67.0,178,24,1,1
68.0,178,24,1,1
69.0,178,24,1,1
70.0,178,24,1,1
71.0,178,24,1,1
72.0,178,24,1,1
73.0,178,24,1,1
74.0,178,24,1,1
75.0,178,24,1,1
76.0,178,24,1,1
77.0,176,26,1,1
78.0,176,26,1,1
79.0,176,26,1,1
80.0,176,26,1,1
81.0,175,27,1,1
82.0,175,27,1,1
83.0,175,27,1,1
84.0,175,27,1,1
85.0,175,27,1,1
86.0,174,28,1,1
87.0,174,28,1,1
88.0,174,28,1,1
89.0,174,28,1,1
90.0,174,28,1,1
91.0,173,29,1,1
92.0,173,29,1,1
93.0,173,29,1,1
94.0,173,29,1,1
95.0,173,29,1,1
96.0,173,29,1,1
97.0,173,29,1,1
98.0,172,30,1,1
99.0,172,30,1,1
100.0,172,30,1,1
